"كد شركت";"كد دوره";"Field3";"سر فصل";"زيرفصل";"ادامه زيرفصل"
;639;;"بر اساس نيازهاي واحدهاي عملياتي طراحي و انتخاب، بهره برداري و تعميرات تله هاي بخار مربوطه را ارائه مي گردد";;
;653;;;;
;662;;;;
;667;;;;
;667;;;;
;677;;;;
;856;;;"8-ترك دخانيات و درمانهاي دارويي و غيردارويي و مشاوره";
;856;;;"7-چربي هاي خون و ارتباط آنها با بيماريهاي قلبي و عروقي 8--اسيدهاي چرب اشباع شده و ترانس بالا و بيماريهاي قلبي و عروقي 9-انواع روغنهاي مصرفي  10-انواع روشهاي درست پخت غذا";
;981;;;;
;3010;;;"5-آشنايي باانواع سافت استارترها و محاسبات مربوطه 6- تنظيمات مربوط به سافت استارت با توجه به نوع كاربرد7- معرفي روشهاي بهره برداري مناسب به منظور افزايش عمر موتورهاي كمپرسورها";
;4137;;;;
;4137;;;;
;4138;;;;
;4138;;;;
;11414;;;;
;13818;;;;
;16442;;"براي  محاسبه  VLEـاستفاده  ازروش  تركيبي  براي  محاسبه  VLE";;
;16442;;"محاسبه  VLE با استفاده  از داده  هاي  تجربي";;
;16993;;;;
;16996;;;;
;17309;;;;
;17389;;;;
;17390;;;;
;17391;;;;
;17669;;;;
;17674;;;;
;17727;;;;
;20083;;;;
;20637;;;;
;21130;;;;
;21386;;;;
;22117;;;;
;22118;;;;
;22179;;;;
;22189;;;;
;22465;;"تشريح الزامات استاندارد ISO22000";;
;22749;;;;
;22945;;;;
;22953;;;;
;23408;;;;
;23408;;;;
;23408;;;;
;23408;;;;
;23620;;;"2- نحوه برنامه نويسي SFC51 براي خطايابي در شبكه پروفي باس با پورت DPهاي CPU";
;23620;;;"4-استفاده از SFC51براي خطا در هر كارت";
;23620;;;"5-استفاده از SFC51 براي مشاهده چراغ هاي خطايابي 400H";
;23620;;;"6-استفاده از SFC51 براي مديريت بر كارت MMC";
;23620;;;"3-نحوه برنامه نويسي SFC51 براي خطايابي در شبكه پروفي باس با پورت DPهاي كارت CP";
;23620;;;"7-ساير كاربردها";
;87112;;"تفسير الگوهاي باليني و شديد شخصيت محور";;
;87112;;"تفسير سندرم باليني و شد محور 1";;
;87112;;"تفسير مقياس  روايي و مقياس اصلاحي";;
;87112;;"گزارش روانشناختي";;
;87112;;"مقياس هاي ميلون";;
;87112;;"نظريه شخصيت ميلون";;
;88002;;;;
;211012;;;;
;211057;;;"5-1-انفجار، آتش سوزي، دماهاي فيوم";
;218403;;;;
;218411;;;;
0;174;;"شرح مختصري بر FLOW ELEMENTها(-انواع اريفيس ها - لوله ونچوري- لوله پيتوت- فلو نازل- روش هاي توتالايزر)";;
0;297;;"هplc  در مقابل SDLC";;
0;18198;;"مروري بر اجزاي فرايند برنامه ريزي و مديريت استراتژيک";;
1;11;;"تعاريف و مباني كارآفريني و ضرورت آن(فرآيند كارآفريني)";;
1;12;;"	تعاريف، مفاهيم و مباني كارآفريني سازماني";;
1;13;;"تعاريف، مفاهيم و مباني كارآفريني سازماني، خلاقيت و نوآوري";;
1;14;;"	طرح توجيهي چيست؟";;
1;75;;"	اصول و كليات پدافند غيرعامل";;
1;76;;"آشنايي با تهديدات امنيتي در خارج از کشور";;
1;77;;"	اطلاعات تخصصي فرودگاهي و شناسايي انواع هواپيماها";;
1;78;;"امداد و نجات";;
1;79;;"	اهميت حفاظت فيزيكي مدرن و تفسيم بندي آن(	مقدمه-	افزايش ضريب حفاظتي-	موانع عامل-	سيستمهاي مراقبتي)";;
1;80;;"اهميت و اصول حفاظت فيزيكي";;
1;81;;"اهميت شيوه ها و شگردهاي حفاظت گفتار";;
1;82;;"	اهميت تخليه تلفني و تبعات آن(انواع تهديدات کاربران تلفن)";;
1;83;;"تعاريف و اصطلاحات حفاظت پرسنلي(	مقدمه-	تهديدات نيروي انساني-	مراحل حفاظت پرسنلي )";;
1;84;;"طبقه بندي اسناد(	مقدمه ، تعاريف و اصطلاحات-	اصول حاكم بر تعيين طبقه بندي اوليه سند-	معايب طبقه بندي نادرست اسناد)";;
1;85;;"تاريخچه و ضرورت وجود سازمان هاي اطلاعاتي";;
1;86;;"	مواد منفجره (تعاريف - اصطلاحات- طبقه بندي)";;
1;87;;"	مشخصات سلاح هاي سازماني";;
1;88;;"	آشنايي با انواع سلاح و مهمات و تحويل آن";;
1;89;;"امنيت و ديدگاه هاي مختلف آن";;
1;90;;"اهميت مشاهده و توصيف در فعاليت هاي حراستي";;
1;91;;"	آشنايي با تهديدات مقامات و شخصيت ها";;
1;92;;"	تعريف و انواع گزارشات اطلاعاتي(آگهي خبر- گزارش خبر-گزارش عملياتي خبر)";;
1;93;;"اهميت حفظ صحنه جرم";;
1;94;;"اصول حراستي و حفاظتي(تعاريف و اصطلاحات - اصول حفاظتي و حراستي -تهديدات و انواع آنها)";;
1;95;;"تعاريف و کاربردهاي حفاظت الکترونيک";;
1;96;;"تعريف سيستم مداربسته(اجزاء سيستم مداربسته -مشخصات فني)";;
1;97;;"حفاظت پيراموني و سيستمهاي هشداردهنده(تعاريف و طبقه بندي سيستمها)";;
1;98;;"آشنايي با فناوري مگاپيکسل(تفاوت دوربينهاي IP  و غير IP-آشنايي با انواع IP Camera-آشنايي با دوربين مگاپيكسل تعريف چگالي پيكسل)";;
1;99;;"	فرمتهاي تصاوير(سايز و ابعاد تصاوير- آشنايي با استانداردهاي فشرده سازي تصوير)";;
1;100;;"	تعريف سيستم کنترل تردد نوين(انواع سيستم -تجهيزات - سيستمهاي تحت شبکه- مفاهيم يکپارچه سازي سيستم ها)";;
1;101;;"	معرفي نرم افزارهاي نظارت تصويري(نرم افزار  Live Viewer- نرم افزار  Archive Player)";;
1;105;;"تدوين چشم انداز و بيانيه مأموريت";;
1;106;;"مشخصات سيستمهاي ورزشي، تعريف سيستم";;
1;107;;"	ساختار سازمان ورزشي";;
1;108;;"مباني علم اقتصاد و اقتصاد ورزشي";;
1;109;;"	بنگاههاي خرد ورزش محور";;
1;110;;"	تغذيه: منابع غذايي و سيستم¬هاي انرژي و اندازه¬گيري انرژي";;
1;111;;"1.	کليات و روش¬هاي استعداديابي";;
1;112;;"علوم نظري ورزش";;
1;115;;"چهارچوب احتمالي براي بازاريابي استراتژيک ورزشي";;
1;116;;"روشهاي آزمون گيري و سنجش";;
1;167;;"مقدمه";"ملزومات و نحوه نصب نرم افزار- پيكربندي - محيط نرم افزاري Citect- Citect explorer- Project editor- Citect graphic builder- Cicode editor و استفاده از Help";
1;168;;"مقدمه و كليات";"خانواده سيستم هاي كنترل S7-400، S7400-H و S7-400HF";
1;169;;"مقدمه";"كمپرسور و انواع آن-منحني عملكرد كمپرسور- تراكم و فرايندهاي سيالات- عوامل و مشخصات و نتايج سرج و تحليل منحني مشخصه هاي كمپرسور";
1;171;;"انواع کابلهاي ابزاردقيق و شبکه و استانداردهاي مربوطه";;
1;172;;"آشنايي با استانداردهاي ارت";;
1;173;;"ساختمان و طرز کار قطعات هيدروليک و کاربرد آنها در کنترلهاي پايه";;
1;174;;"اهميت اندازه گيري  مشتقات نفتي و گازي";;
1;175;;"تعريف سيستم نشت ياب و مشخصات فني مربوطه";;
1;176;;"پياده سازي کنترل فرايند";;
1;177;;"مروري بر سيستم كنترل گسترده و شبكه آن";"تشريح كلي اجزاء سخت افزاري- كنترل كننده ها- ايستگاه هاي اپراتوري- ايستگاه مهندسي- شبكه ارتباطي و مكانيزم انتقال ديتا";
1;178;;"مقدمه و كليات";"مقدمه اي بر اتوماسيون و هرم اتوماسيون- مروري بر استاندارد IEC61131- معرفي خانواده سيستم كنترل";
1;179;;"سخت افزار سيستم کنترل";"پانل سيستم کنترل و تجهيزات درون آن- ماژول هاي سيستم کنترل - سيم كشي ورودي و خروجي سيستم کنترل - مدارك سخت افزاري سيستم کنترل - سيستم حفاظت اصلي Protective System- ولتاژ تغذيه- تمرين هاي عملي و شرح سخت افزار - تنظيمات سخت افزاري";
1;181;;"مقدمه";"مروري بر تاريخچه اترنت و انواع آن- مروري بر اترنت صنعتي با اشاره بر استاندارد IEEE802- جايگاه اترنت در اتوماسيون";
1;182;;"مروري بر سيستم كنترل گسترده و شبكه آن";"تشريح كلي اجزاء سخت افزاري- كنترل كننده ها- ايستگاه هاي اپراتوري- ايستگاه مهندسي- شبكه ارتباطي و مكانيزم انتقال ديتا";
1;183;;"معرفي اجزاء سخت افزار وتعريف آنها";"System Power Supply & Controller- DCS I/O Subsystem & Installation- Bulk Power Supply & Grounding- DCS Workstations";"مشخصات كلي و تنظيمات سخت افزارها- Controller Commissioning- HART I/O Cards، Serial I/O Cards- High Density Discrete I/O Card- Multifunction I/O Cards- سخت افزارهاي Intrinsically Safe"
1;186;;"ويژگي هاي CPU و حافظه ها";"انواع حافظه ها (Work Memory و Load Memory)- نقشه حافظه- حافظه سيستمي- Accumulatorها- رجيسترهاي مختلف CPU- نحوه استفاده از آنها جهت برنامه نويسي و عيب يابي- حافظه هاي سيستمي و كاربرد آنها";
1;187;;"مقدمه";"تراكم گاز و انواع آن- انواع كمپرسورها و  مقايسه آنها با هم از نظر تراكم و نرخ جريان-ويژگي هاي كمپرسورهاي گريز از مركز- پديده ي سرج و عوامل مؤثر بر آن- كاربرد كمپرسور در فرايندهاي مختلف- راه اندازها و انواع آنها در كمپرسورها (الكتروموتور، توربين و …)";
1;188;;"مروري بر توربين هاي گازي";"تاريخچه ي توربين هاي گازي و مزايا و معايب آنها نسبت به ساير راه اندازها";
1;189;;"مهندسي و انتخاب وسايل اندازه گيري فشار";"محاسبات و نحوه انتخاب نوع، سايز و تمهيدات نصب وسايل اندازه گيري فشار (ترانسميترها، سوئيچ ها و گيج ها) براساس ويژگي فيزيكي و شيميايي سيال، شرايط محيط، گستره اندازه گيري، دقت و ... - ملاحظات استاندارد و ايمني";
1;191;;"مقدمه";"انواع شيرهاي نيوماتيك و هيدروليك- مكانيزم عملكرد شيرهاي نيوماتيك و هيدروليك و اجزاء آنها- علائم استاندارد قطعات نيوماتيك و هيدروليك- انواع شيرهاي صنعتي و محركه هاي آنها";
1;192;;"ايجاد پروژه و تعاريف عمومي پروژه";"ايجاد پروژه و كنترل كننده ها - پيكربندي سخت افزارها و انجام تنظيمات آنها";
1;193;;"بررسي سيستم فرآيند و روش هاي مختلف كنترل براساس نوع عامل نهايي";"شناخت و بررسي دياگرام جريان- بررسي سيستم و آناليز مسائل كنترل در طرح پيشنهادي براي انتخاب شير كنترل";"، شناخت و بررسي روش هاي جايگزين منجمله: روش هاي ذاتي خود كنترل فرآيند، كنترل سرعت دوراني، توربين ها و موتورها، روش هاي مكانيكي و هيدروليكي و روش هاي الكتريكي"
1;194;;"معرفي اجزاء سخت افزار وتعريف آنها";"System Power Supply & Controller- DCS I/O Subsystem & Installation- Bulk Power Supply & Grounding- DCS Workstations";"مشخصات كلي و تنظيمات سخت افزارها- Controller Commissioning- HART I/O Cards، Serial I/O Cards- High Density Discrete I/O Card- Multifunction I/O Cards- سخت افزارهاي Intrinsically Safe"
1;195;;"ساختار نرم افزاري";"برنامه كنترل توالي (CSP)- زبان هاي برنامه نويسي speed tronic، Primitives، Big Blocks & Comments- خواندن المان هاي logic- انواع متغيرها در speed tronic- قوانين رياضي در speed tronic- تمرين زبان هاي برنامه نويسي";
1;196;;"مقدمه";"آشنايي با انواع شيرهاي قطع و وصل- اجزاء داخلي شيرهاي قطع و وصل و مكانيزم عملكرد آنها";
1;197;;"رگلاتورها و مكانيزم عملكرد آنها";"اجزاء اصلي رگولاتورها و اساس كاركرد رگولاتورهاي تنظيم فشار گازها- پديده هاي فيزيكي ناشي از تقليل فشار و مشكلات ناشي و نحوه رفع آنها";
1;198;;"سيستم هاي اعلام حريق";"استانداردهاي حاکم بر سيستم هاي اعلام و اطفاء حريق- استانداردهاي NFPA 10 & NFPA 72- رتبه بندي سيستم هاي اعلام حريق- انواع سيستم هاي اعلام حريق- آدرس پذير , متعارف";
1;210;;"مباني تئوري شامل: طراحي، محاسبات، بهره برداري و راه اندازي";"فرمول هاي تصحيح كننده جامع،- عملكرد يك تصحيح كننده، ملزومات يك تصحيح كننده جامع- نصب و راه اندازي";
1;211;;"مقدمه و مفاهيم و تعاريف";"تعاريف  حجم، مقدار جريان، سرعت- روابط حجم با فشار و دما- شرايط پايه در اندازه‌گيري- ضرايب تصحيح فشار و دما- تفاوت استاندارد متر مكعب با نرمال مترمكعب- انواع روش¬هاي اندازه‌گيري- انواع ميترهاي موجود در صنعت";
1;212;;"كنتورهاي اريفيسي";"ساختار و مكانيزم عملكرد دستگاه- نحوه محاسبه ميزان گاز- دامنه کاربرد- معايب و مزايا- بهره برداري- نحوه نصب و راه اندازي و اشكالات مربوطه- تست- بازديد و کاليبراسيون- استانداردهاي مربوط به كنتورهاي اريفيسي";
1;213;;"مباني تئوري و نحوه عملكرد مربوط به ميترهاي آلتراسونيك";"تعريف Transit Time و Flow Profile-محاسبه سرعت متوسط فلوي گاز- روش محاسبه سرعت فلوي گاز، 
تعريف Path و Chord و آرايش مسيرهاي صوتي- كليات يك ايستگاه اندازه گيري گاز با استفاده از يك ميترهاي آلتراسونيك";
1;214;;"مقدمه";"مروري بر تاريخچه مدباس و انواع آن- جايگاه مدباس در اتوماسيون";
1;215;;"ايجاد پروژه و تعاريف عمومي پروژه";"ايجاد پروژه و كنترل كننده ها - پيكربندي سخت افزارها و انجام تنظيمات آنها";
1;216;;"آشنايي با محيط PCS7";;
1;217;;"تست عملي انواع لوپهاي CASCADE  و RATIO و OVERRIDE با PCS";;
1;218;;"طراحي و پياده سازي شبكه ControlNet در محيط RSNetWork";"Designing a ControlNet and RSNetWork Media System-Configuring a ControlNet and RSNetWork Network Offline-Going Online to a ControlNet and RSNetWork Network";
1;230;;"روشهاي پيكربندي سيستم مانيتورينگ";;
1;231;;"مروري بر توربين هاي گازي";"شرح قسمت هاي اصلي توربين هاي گازي- نحوه عملكرد توربين هاي گازي";"انواع توربينهاي گازي و نحوه تقسيم بندي آنها (تقسيم بندي توربين از نظر نوع محور، تقسيم بندي توربين از نظر محفظه احتراق، تقسيم بندي توربين از نظر نوع سوخت مصرفي، تقسيم بندي توربين از نظر سيستم راه انداز اوليه، تقسيم بندي توربين از نظر خنك كاري پس از توقف)"
1;232;;"سخت افزار سيستم كنترل سوخت";"خانواده هاي سيستم كنترل سوخت و ويژگي هاي آنها- سخت افزار سيستم كنترل و وظيفه هر يك از ماژول هاي سيستم- نحوه نصب و نقشه هاي سيستم كنترل سوخت- سنسورهاي سيستم كنترل سوخت";
1;233;;"اجزاي جانبي RVP";"سيستم نمونه گيري و اجزاي آن";
1;234;;"اجزاء و تئوري عملكرد سيستم AMB";"تشريح مختصر در خصوص تئوري عملكرد Active Magnetic Bearings- اجزاء پايه¬اي و اساسي سيستم هاي AMB (axial & radial position detector, axial and radial bearings, back-up bearings, speed sensor)";
1;235;;"آنالايزرهاي رطوبت";"نحوه طراحي و نصب آنالايزرهاي رطوبت و مسيرهاي مربوطه (نمونه گيري، درين و …)- انواع آنالايزرهاي رطوبت- مكانيزم عملكرد آنها- نحوه كاليبراسيون آنها- نحوه تعمير و نگهداري و سرويس دوره اي آنها- نحوه عيب يابي آنها و نحوه تعويض آنها";
1;236;;"آنالايزرهاي اكسيژن";"نحوه طراحي و نصب آنالايزرهاي اكسيژن و مسيرهاي مربوطه (نمونه گيري، درين و ...)- انواع آنالايزرهاي اكسيژن (اكسيژن موجود در مايعات و گازها)";"مكانيزم عملكرد آنها- نحوه كاليبراسيون آنها- نحوه تعمير و نگهداري و سرويس دوره اي آنها- نحوه عيب يابي آنها و نحوه تعويض آنها"
1;237;;"استانداردهاي سيستم اتواسيون F&G";"استاندارهاي IPS، IEC، BS، ISA و ... در خصوص مهندسي سيستم هاي اتوماسيون اعلام و اطفاء حريق";
1;238;;"اجزاي جانبي گازكروماتوگرافي";"سيستم نمونه گيري و اجزاي آن- سيستم منابع گازهاي سوخت و حامل و اجزاي آن";
1;239;;"مقدمه (مباني حفاظت الكتريكي)(انواع اتصال كوتاه همراه با محاسبات كاربردي)(معرفي انواع تجهيزات حفاظتي)( انواع رله ها از لحاظ ساختاري";;
1;240;;"تعاريف مقدماتي(تعريف شارژر)(انواع روش¬هاي يكسوسازي)(روشهاي بهبود كيفيت ولتاژ DC  خروجي)(انواع روشهاي شارژ( شارژ نرمال، شارژ اوليه، بوست شارژ))";;
1;241;;"تعاريف و كليات(انواع روش¬هاي تبديل ولتاژ DC به AC )(تعريف  مدولاسيون پهناي پالس(PWM)(كموتاسيون اجباري)(توضيح مختصر در مورد IGBT";;
1;242;;"موتورهاي القايي و موتورهاي سنكرون";"ساختمان و اساس كار";
1;243;;"مقدمه";"تعريف VSD يا VFD، هدف و كاربرد آن، آشنايي با المان¬هاي الكترونيك قدرت، ساختار و نحوه عملكرد VFD يا VSD";
1;244;;"مشخصات فني SFCها(آشنايي با مشخصات فني SFCها )";;
1;245;;"مقدمه";"آشنايي با انواع كابل و استانداردهاي مربوطه در خصوص عايق¬ها، مشخصات كابل، كلاس كابل و …";
1;246;;"مقدمه(مروري بر شناخت انواع كابل فشارضعيف و قوي و عايق هاي آن)";;
1;247;;"مقدمه(آشنايي با خطرات و عواقب صاعقه در صنعت)( انواع اتصال زمين (مستقيم، مقاومتي، راكتانسي و ...)";;
1;248;;"شناخت انواع عايقهاي الكتريكي و عوامل موثر در تخريب آنها";;
1;249;;"آشنايي با انواع دستگاههاي تست رله";;
1;250;;"مقدمه(محاسبات اتصال كوتاه)(معرفي پارامترهاي مورد نياز جهت هماهنگي رله ها و طراحي يك نمونه شبكه قدرت بصورت تئوري)";;
1;251;;"اصول كلي مولدهاي برق";"آشنايي با اصول عملكرد ژنراتور، آشنايي با اصول عملكرد و انواع سيستم تحريك و AVR، مزايا و معايب هريك از سيستم¬هاي تحريك، آشنايي با اصول عملكرد سنكرون¬سازي، مدهاي كاري ژنراتور - مروري بر اصول حفاظت ژنراتورها، اصول عملكرد تجهيزات جانبي(استارتر، پمپهاي روغن،";
1;252;;"مقدمه و كليات(آشنايي با انواع ترانسفورماتورهاي توزيع و قدرت و تجهيزات مربوطه و انواع اتصالات در ترانسفورماتور و كاربردهاي آنها)";;
1;254;;"مقدمه (آشنايي با خطرات برق) (آشنايي با لوازم ايمني برق فردي و گروهي براساس استانداردهاي مربوطه)(انواع برق گرفتگي)";;
1;255;;"مقدمه";"تعاريف و اصطلاحات برق فشار ضعيف";
1;256;;"مقدمه(مروري بر تجهيزات پست¬ها و خطوط انتقال برق و آرايش آنها)";;
1;257;;"طبقه بندي محيط ها(طبقه بندي محيط هاي عملياتي مستعد خطر گازي براساس استانداردهاي بين المللي، طبقه بندي مناطق خطر حاوي غبارات و فيبرهاي آتشگير، طبقه بندي( Opening ( A، B، C,D ،تعيين مناطق خطر با استفاده از فلوچارت،عوامل موثر بر مناطق خطر و روشهاي تقليل اثر";;
1;258;;"معرفي سيستم تحريك";;
1;259;;"مقدمه(مباني خوردگي و روشهاي حفاظت در برابر خوردگي)(آشنايي با انواع خوردگي و معيار خوردگي)";;
1;260;;"نحوه عيبيابي مدارات كنترلي ديزلي";;
1;261;;"آشنايي با محيط اتوكد";;
1;262;;"آشنايي با نرم افزار مربوطه و محيط آن";"اشنايي با ماژولهاي مختلف نرم افزار - محيط ترسيم SLD و ورود اطلاعات";
1;263;;"INSTALLING SQL SERVER";;
1;264;;"REPORTING SERVICE";;
1;265;;"معرفيSQL SERVER ANALYSIS";;
1;266;;"سرفصلها بر اساس امكانات و قابليتها نسخه جديد نرم افزار و تفاوت آن  با نسخه قبلي ارائه مي گردد.";;
1;267;;"Introduction to Oracle 11g ADF";;
1;268;;"Exploring the Oracle Database Architecture ";;
1;268;;"Installing the Oracle Database Software";;
1;269;;" Database Architecture and ASM";;
1;270;;" Benefits of Deploying Forms Applications to the Web";;
1;271;;" Introduction";;
1;272;;"سرفصلها بر اساس امكانات و قابليتها نسخه جديد نرم افزار و تفاوت آن  با نسخه قبلي ارائه مي گردد.";;
1;274;;"آشنايي با انواع ديسکهاي سخت";;
1;275;;"آشنايي با انواع مانيتور و عملکرد آن";;
1;276;;"آشنايي با سيستم مديريت هوشمند ساختمان (BMS)";;
1;277;;"آشنايي با نقطه خط سطح جم";;
1;278;;"شناخت ابزارها و پنلها";;
1;279;;"آشنايي با پنلها و ابزارها";;
1;280;;"آموزش action script";;
1;281;1;"ساخت مدلهاي سه بعدي موادMATERIALS";;
1;282;;"eduis interface";;
1;283;;"Introducing Oracle Database";;
1;284;;"مقدمه اي بر برنامه نويسي شي گرا";;
1;286;;"آشنايي با پروتکلها";"HTTP,HTTPS,TELNET,FTP,DNS,POP3,SMTP,IMAP";
1;287;;"آشنايي با الگوريتم و فلوچارت";;
1;288;;"نصب و پيکر بندي PHP";;
1;289;;"آشنايي با انواع داده ها";;
1;290;;"JSF";;
1;291;;"نصب نرم افزار کريستال ريپورت";"	نصب داخل ويژوال استوديو-نصب بطور مجزا";
1;292;;"Silverlight Introduction";;
1;293;;"Introduction";"Introduction to Security-Authentication, Authorization, Auditing-Confidentiality, Integrity, Availability";
1;294;;"Creating an Application by Using WPF";"Overview of WPF-Creating a Simple WPF Application-Handling Events and Commands-Navigating Between Pages";
1;295;;"مفاهيم اصلي برون سپاري فناوري اطلاعات";;
1;296;;"تعريف معماري سرويس گرا";;
1;297;;"روش شناسي پروژه فناوري اطلاعات";;
1;298;;"اصول و مفاهيم مديريت فرايندهاي كسب و كار";;
1;299;;"انگيزه پرداخت الکترونيک";;
1;300;;"اصول و مفاهيم داده کاوي";;
